R0_true,sigma_true,n_seeds,R0_mean,R0_bias,R0_sd,sigma_mean,sigma_bias,sigma_sd,source_file
1.2,0.9,20,1.1386934673366833,-0.06130653266331665,0.06910136783335862,0.6699497487437187,-0.2300502512562813,0.17342141584514506,peak_estimates_sigma0p9_R01p2.csv
1.4,0.9,20,1.3821608040201006,-0.017839195979899358,0.13853771022401182,0.7726633165829145,-0.12733668341708548,0.15306127862448096,peak_estimates_sigma0p9_R01p4.csv
1.6,0.9,20,1.491457286432161,-0.10854271356783918,0.14313462514665234,0.8160804020100503,-0.08391959798994975,0.12472119064493327,peak_estimates_sigma0p9_R01p6.csv
1.8,0.9,20,1.7929648241206029,-0.007035175879397171,0.19425727574216817,0.8876381909547739,-0.012361809045226102,0.05072466766862691,peak_estimates_sigma0p9_R01p8.csv
2.0,0.9,20,1.9761306532663312,-0.023869346733668806,0.19624674121071412,0.8611055276381911,-0.038894472361808874,0.0954674196832508,peak_estimates_sigma0p9_R02p0.csv
2.2,0.9,20,2.173618090452261,-0.026381909547739113,0.18052558831898333,0.8874371859296483,-0.012562814070351758,0.050548709694140055,peak_estimates_sigma0p9_R02p2.csv
2.4,0.9,20,2.4585427135678395,0.05854271356783958,0.38128219677165104,0.898894472361809,-0.0011055276381910506,0.04787438780806365,peak_estimates_sigma0p9_R02p4.csv
2.6,0.9,20,2.698994974874372,0.0989949748743717,0.5823509117114938,0.8946733668341709,-0.005326633165829153,0.06226000546385896,peak_estimates_sigma0p9_R02p6.csv
2.8,0.9,20,2.6741206030150755,-0.12587939698492434,0.25804772712375784,0.9143718592964826,0.014371859296482548,0.038251597894473376,peak_estimates_sigma0p9_R02p8.csv
3.0,0.9,20,3.1708542713567835,0.17085427135678355,0.5464256370474893,0.9139698492462314,0.013969849246231347,0.042612666109221715,peak_estimates_sigma0p9_R03p0.csv
1.2,0.94,20,1.1477386934673368,-0.05226130653266314,0.07804329108871234,0.7035175879396987,-0.2364824120603013,0.15029888172324496,peak_estimates_sigma0p94_R01p2.csv
1.4,0.94,20,1.3587939698492462,-0.04120603015075375,0.13462519912154647,0.8160804020100503,-0.12391959798994967,0.09935659868155651,peak_estimates_sigma0p94_R01p4.csv
1.6,0.94,20,1.47035175879397,-0.12964824120603002,0.19488433019506943,0.8285427135678394,-0.11145728643216057,0.08071112227328127,peak_estimates_sigma0p94_R01p6.csv
1.8,0.94,20,1.773366834170854,-0.0266331658291461,0.20273586976241825,0.8852261306532665,-0.05477386934673345,0.080533877579938,peak_estimates_sigma0p94_R01p8.csv
2.0,0.94,20,1.999497487437186,-0.0005025125628139726,0.2863736907707315,0.8804020100502512,-0.05959798994974874,0.09685966095684272,peak_estimates_sigma0p94_R02p0.csv
2.2,0.94,20,2.2286432160804024,0.028643216080402212,0.38740152575833653,0.9129648241206031,-0.027035175879396856,0.044120488547372744,peak_estimates_sigma0p94_R02p2.csv
