avg_time,num_strains,avg_prev,var_prev,avg_div,max_abundance,avg_npmi,div_all_isolates
1.525000000000000000e+01,1.200000000000000000e+01,7.965217391304348382e+01,4.135721185394412203e+01,7.956521739130434590e+00,3.600000000000000000e+01,-3.61E-01,7.131905701455980129e+00
2.014285714285714235e+01,1.400000000000000000e+01,1.631739130434782510e+02,8.045362988246596103e+01,1.226086956521739069e+01,4.800000000000000000e+01,-1.21E-01,1.162890582417473517e+01
2.121428571428571530e+01,1.400000000000000000e+01,1.770434782608695627e+02,8.437388558772175884e+01,1.291304347826086918e+01,3.900000000000000000e+01,-8.73E-02,1.229626552692520569e+01
1.984615384615384670e+01,1.300000000000000000e+01,1.553043478260869676e+02,7.815045790746363252e+01,1.121739130434782616e+01,4.300000000000000000e+01,-2.08E-01,1.038838901774777845e+01
1.606250000000000000e+01,1.600000000000000000e+01,1.613043478260869676e+02,8.090254225840816105e+01,1.117391304347826164e+01,5.600000000000000000e+01,-4.67E-02,8.758309337773466652e+00
1.038461538461538503e+01,1.300000000000000000e+01,4.721739130434782794e+01,2.421298772773730335e+01,5.869565217391304657e+00,2.700000000000000000e+01,-5.09E-01,5.228799644996671603e+00
1.713333333333333286e+01,1.500000000000000000e+01,1.395217391304347814e+02,7.117511667149960886e+01,1.117391304347826164e+01,4.900000000000000000e+01,-1.07E-01,9.301398850344156699e+00
1.300000000000000000e+01,7.000000000000000000e+00,5.586956521739130466e+01,3.104586687149146940e+01,3.956521739130434590e+00,4.300000000000000000e+01,-4.68E-01,3.275250119104335500e+00
1.870588235294117752e+01,1.700000000000000000e+01,1.691739130434782510e+02,8.467781300795549271e+01,1.382608695652173836e+01,3.700000000000000000e+01,1.467528358477849515e-01,1.352669235691331018e+01
2.107692307692307665e+01,1.300000000000000000e+01,1.846086956521739069e+02,9.138516844574783704e+01,1.191304347826086918e+01,4.800000000000000000e+01,-1.85E-01,1.084224007045184912e+01
1.155555555555555536e+01,9.000000000000000000e+00,4.352173913043478137e+01,2.188787452868366401e+01,4.521739130434782261e+00,3.500000000000000000e+01,-5.36E-01,3.399119828312189284e+00
1.428571428571428603e+00,7.000000000000000000e+00,4.782608695652174058e-01,8.458220969937152445e-01,4.347826086956521618e-01,2.000000000000000000e+00,-5.58E-01,7.857142857142856762e+00
1.242857142857142883e+01,1.400000000000000000e+01,7.004347826086956275e+01,3.533409152242936813e+01,7.565217391304347672e+00,4.100000000000000000e+01,-3.37E-01,6.588839889039049602e+00
1.918750000000000000e+01,1.600000000000000000e+01,2.008260869565217490e+02,1.025863947092724402e+02,1.334782608695652151e+01,5.000000000000000000e+01,7.247611073571909313e-02,1.252846703152770580e+01
2.050000000000000000e+01,1.600000000000000000e+01,1.994347826086956559e+02,1.018322265863881739e+02,1.426086956521739069e+01,4.200000000000000000e+01,1.225055346437927822e-01,1.356099746520784954e+01
2.075000000000000000e+01,1.600000000000000000e+01,1.365217391304347814e+02,6.555349624211676485e+01,1.443478260869565233e+01,3.100000000000000000e+01,1.063482647994584557e-01,1.352003906582207016e+01
1.744444444444444287e+01,1.800000000000000000e+01,1.082173913043478279e+02,5.469332394172496947e+01,1.365217391304347849e+01,3.200000000000000000e+01,2.591971450708646096e-01,1.423986387049300895e+01
2.021428571428571530e+01,1.400000000000000000e+01,1.270434782608695627e+02,6.440671778970488504e+01,1.230434782608695699e+01,3.300000000000000000e+01,-9.78E-02,1.251460669544409576e+01
1.981250000000000000e+01,1.600000000000000000e+01,1.464782608695652186e+02,7.322249379007755010e+01,1.378260869565217384e+01,3.800000000000000000e+01,8.772233269873661032e-02,1.381881156285622403e+01
1.685714285714285765e+01,1.400000000000000000e+01,6.408695652173912549e+01,3.377049955680557503e+01,1.026086956521739069e+01,2.800000000000000000e+01,-1.77E-01,1.256642628112375348e+01
1.456250000000000000e+01,1.600000000000000000e+01,1.619565217391304373e+02,8.087222147025266850e+01,1.013043478260869534e+01,5.700000000000000000e+01,-1.09E-01,8.674708589724348329e+00
1.615384615384615330e+01,1.300000000000000000e+01,7.817391304347826519e+01,4.290438860145687272e+01,9.130434782608695343e+00,3.100000000000000000e+01,-2.98E-01,9.015586807299515115e+00
