Dimmunity,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
2.000000000000000111e-01,5.000000000000000000e-01,1.830769230769230660e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.066666666666666652e+00,8.035714285714283533e-02,8.769565217391304657e+01,1.914675889328063022e+03,1.034782608695652151e+01,1.509881422924901351e+00,2.700000000000000000e+01,-2.399654379748903665e-01,1.043495398765134219e+01
2.000000000000000111e-01,5.999999999999999778e-01,1.700000000000000000e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.089285714285714191e+00,2.610506085842408952e-01,8.408695652173912549e+01,1.919901185770750999e+03,1.034782608695652151e+01,1.509881422924901351e+00,2.400000000000000000e+01,-1.939966202252930427e-01,1.076455411903596371e+01
2.000000000000000111e-01,6.999999999999999556e-01,1.785714285714285765e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.084745762711864403e+00,1.544897223223945515e-01,8.147826086956521863e+01,1.829260869565217035e+03,1.086956521739130466e+01,6.391304347826086918e+00,2.200000000000000000e+01,-1.461443154121561949e-01,1.126929424078390518e+01
2.000000000000000111e-01,7.999999999999999334e-01,2.109090909090908994e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.040723981900452566e+00,3.924310983134511599e-02,7.682608695652173481e+01,1.634513833992094987e+03,1.008695652173913082e+01,2.264822134387352026e+00,2.400000000000000000e+01,-3.051128270262397080e-01,1.056586307306832850e+01
2.000000000000000111e-01,8.999999999999999112e-01,2.035714285714285765e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.077490774907749138e+00,1.236025693590269287e-01,7.547826086956521863e+01,1.446442687747035507e+03,1.239130434782608781e+01,2.703557312252964806e+00,2.300000000000000000e+01,-1.052799530902192582e-01,1.342383698646010615e+01
2.000000000000000111e-01,9.999999999999998890e-01,1.808333333333333215e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.102439024390243993e+00,8.571018651362989349e-01,7.026086956521739069e+01,1.547837944664031738e+03,9.434782608695652328e+00,2.438735177865612780e+00,2.800000000000000000e+01,-3.037601149874385453e-01,1.003915896694183019e+01
2.500000000000000000e-01,1.000000000000000056e-01,1.500000000000000000e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.104395604395604469e+00,1.824115111407929590e-01,9.904347826086956275e+01,2.690498023715415002e+03,8.478260869565216851e+00,2.260869565217391131e+00,4.400000000000000000e+01,-3.233841195596274254e-01,7.165065683146160325e+00
2.500000000000000000e-01,2.000000000000000111e-01,1.646153846153845990e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.129353233830845848e+00,4.431840796019899664e-01,1.003043478260869534e+02,2.464039525691699509e+03,9.304347826086956985e+00,1.494071146245059323e+00,3.600000000000000000e+01,-2.928529873064735223e-01,7.234177783217068836e+00
2.500000000000000000e-01,3.000000000000000444e-01,1.850000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.085714285714285632e+00,9.788106630211892978e-02,9.191304347826087451e+01,2.220446640316206413e+03,9.652173913043478493e+00,2.691699604743082563e+00,4.100000000000000000e+01,-2.977132497898407060e-01,8.646057781270444664e+00
2.500000000000000000e-01,4.000000000000000222e-01,1.850000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.071428571428571397e+00,1.431989063568010756e-01,8.482608695652173481e+01,1.961241106719367735e+03,9.652173913043478493e+00,1.964426877470355715e+00,3.300000000000000000e+01,-2.997056932111049621e-01,9.032235854969515643e+00
2.500000000000000000e-01,5.000000000000000000e-01,1.686666666666666714e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.071428571428571397e+00,1.172393007836045747e-01,8.521739130434782794e+01,1.711541501976284735e+03,1.100000000000000000e+01,2.181818181818181657e+00,2.600000000000000000e+01,-1.172226173856120574e-01,1.076627149250215965e+01
2.500000000000000000e-01,5.999999999999999778e-01,1.753333333333333499e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.044354838709677491e+00,5.065626224369857572e-02,8.408695652173912549e+01,1.929264822134387259e+03,1.143478260869565233e+01,1.711462450592885043e+00,2.900000000000000000e+01,-8.794044942917174368e-02,1.157606891597304788e+01
2.500000000000000000e-01,6.999999999999999556e-01,1.615384615384615330e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.030456852791878264e+00,3.988397389412619287e-02,7.643478260869565588e+01,1.382438735177865510e+03,9.130434782608695343e+00,5.731225296442686856e-01,2.800000000000000000e+01,-3.071089793493911313e-01,9.644200626959246847e+00
2.500000000000000000e-01,7.999999999999999334e-01,1.869230769230769340e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.065217391304347894e+00,8.743117524207327795e-02,7.300000000000000000e+01,1.498909090909090992e+03,1.056521739130434767e+01,2.893280632411066922e+00,2.900000000000000000e+01,-2.170078573610229877e-01,1.178418102727120598e+01
2.500000000000000000e-01,8.999999999999999112e-01,1.413333333333333286e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.238578680203045623e+00,1.968300010359473662e+00,6.313043478260869534e+01,1.098936758893280967e+03,9.217391304347826164e+00,2.268774703557312478e+00,2.700000000000000000e+01,-1.918242225406236179e-01,9.391083415795245415e+00
2.500000000000000000e-01,9.999999999999998890e-01,1.647368421052631504e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.102040816326530503e+00,1.533746604443825268e-01,7.095652173913043725e+01,1.442588932806324010e+03,1.360869565217391219e+01,1.161264822134387309e+01,1.900000000000000000e+01,4.401309933970691812e-01,1.560344686089454314e+01
