R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
4.000000000000000000e+00,8.999999999999999112e-01,1.905263157894736992e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.069970845481049482e+00,4.629260225393419526e-01,1.318260869565217490e+02,4.358241106719367963e+03,1.573913043478260931e+01,3.383399209486165571e+00,3.700000000000000000e+01,4.887497883125029308e-01,1.689585233122517849e+01
4.000000000000000000e+00,9.999999999999998890e-01,2.100000000000000000e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.063157894736842080e+00,8.571031801138731532e-02,1.304782608695652186e+02,4.554533596837944970e+03,1.734782608695652328e+01,5.691699604743083007e+00,2.800000000000000000e+01,5.720518367839643181e-01,1.886725233456837714e+01
5.000000000000000000e+00,1.000000000000000056e-01,2.039999999999999858e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.017182130584192379e+00,1.694513567958289002e-02,2.230434782608695627e+02,1.164031620553359608e+04,1.330434782608695699e+01,8.577075098814234133e-01,5.200000000000000000e+01,-1.985414810266231123e-02,1.159964220310484428e+01
5.000000000000000000e+00,2.000000000000000111e-01,2.129411764705882248e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.008695652173912993e+00,8.645096056622848454e-03,2.186086956521739069e+02,1.174343083003952597e+04,1.573913043478260931e+01,9.288537549407109850e-01,4.700000000000000000e+01,2.617788691095674913e-01,1.484047102921386241e+01
5.000000000000000000e+00,3.000000000000000444e-01,2.011111111111111072e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.046511627906976827e+00,1.785883788731438826e-01,2.096086956521739069e+02,1.052670355731225209e+04,1.573913043478260931e+01,1.292490118577074520e+00,4.900000000000000000e+01,3.674069133496555839e-01,1.396026256123364817e+01
5.000000000000000000e+00,4.000000000000000222e-01,2.078947368421052744e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.042553191489361764e+00,5.685106382978725309e-02,2.069130434782608745e+02,1.143371936758893207e+04,1.717391304347826164e+01,2.695652173913043459e+00,4.200000000000000000e+01,5.823315422892999527e-01,1.727153056398834607e+01
5.000000000000000000e+00,5.000000000000000000e-01,2.144444444444444287e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.029891304347826164e+00,5.087519251273547177e-02,1.982608695652174049e+02,9.861110671936758081e+03,1.678260869565217561e+01,1.541501976284585185e+00,4.000000000000000000e+01,4.277892815593825615e-01,1.650214561613236697e+01
5.000000000000000000e+00,5.999999999999999778e-01,2.105000000000000071e+01,2.300000000000000000e+01,2.000000000000000000e+01,1.037406483790523692e+00,6.109725685785535182e-02,1.957826086956521863e+02,1.032363241106719215e+04,1.830434782608695699e+01,1.039525691699605181e+00,3.600000000000000000e+01,7.322384270736141954e-01,1.838145832993313888e+01
5.000000000000000000e+00,6.999999999999999556e-01,2.215789473684210620e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.024875621890547261e+00,5.424250319474947790e-02,1.863043478260869676e+02,8.719221343873517981e+03,1.830434782608695699e+01,1.675889328063240535e+00,3.500000000000000000e+01,6.228291331792511487e-01,1.891200741770978055e+01
5.000000000000000000e+00,7.999999999999999334e-01,1.978947368421052744e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.022408963585434094e+00,4.444024800931607733e-02,1.716086956521739069e+02,7.774703557312252087e+03,1.634782608695652328e+01,2.055335968379446765e+00,3.900000000000000000e+01,5.235559645282482633e-01,1.690402552720405538e+01
5.000000000000000000e+00,8.999999999999999112e-01,2.215789473684210620e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.027363184079602032e+00,3.166834158385131021e-02,1.610869565217391255e+02,6.800719367588932073e+03,1.830434782608695699e+01,1.675889328063240535e+00,3.400000000000000000e+01,6.115490567441612679e-01,1.857409297251644986e+01
5.000000000000000000e+00,9.999999999999998890e-01,2.126315789473684248e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.064935064935064846e+00,1.858766233766233900e-01,1.473043478260869676e+02,5.354221343873518890e+03,1.756521739130434767e+01,4.256916996047431567e+00,3.100000000000000000e+01,6.028142398393370183e-01,1.889200669072517869e+01
6.000000000000000000e+00,1.000000000000000056e-01,1.906250000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.010380622837370179e+00,1.030853517877739281e-02,2.463478260869565304e+02,1.414560079051383582e+04,1.326086956521739069e+01,5.652173913043478937e-01,5.200000000000000000e+01,5.422462622361425705e-02,1.215308977596710527e+01
